variable,test_name,var_type,row_type,var_label,label,stat_0,stat_1,stat_2,stat_3,estimate,parameter,statistic,conf.low,conf.high,p.value
age,kruskal.test,continuous,label,age,age,38 (12),39 (12),39 (13),35 (12),NA,2,35.502068296800616,NA,NA,1.9535468064970626e-8
female,chisq.test.no.correct,dichotomous,label,female,female,867 (60%),373 (62%),218 (48%),276 (70%),NA,2,46.48081649856948,NA,NA,8.06898559510005e-11
ethnicity_minority,chisq.test.no.correct,dichotomous,label,ethnicity_minority,ethnicity_minority,717 (59%),283 (77%),346 (76%),88 (23%),NA,2,320.9569038646609,NA,NA,2.0188026280125314e-70
education,chisq.test.no.correct,categorical,label,education,education,NA,NA,NA,NA,NA,12,300.16096084007586,NA,NA,4.344390291774907e-57
education,chisq.test.no.correct,categorical,level,education,0,60 (4.2%),3 (0.5%),54 (12%),3 (0.8%),NA,NA,NA,NA,NA,NA
education,chisq.test.no.correct,categorical,level,education,1,70 (4.9%),13 (2.2%),47 (10%),10 (2.6%),NA,NA,NA,NA,NA,NA
education,chisq.test.no.correct,categorical,level,education,2,127 (8.8%),40 (6.7%),62 (14%),25 (6.5%),NA,NA,NA,NA,NA,NA
education,chisq.test.no.correct,categorical,level,education,3,654 (45%),369 (62%),99 (22%),186 (48%),NA,NA,NA,NA,NA,NA
education,chisq.test.no.correct,categorical,level,education,4,229 (16%),70 (12%),105 (23%),54 (14%),NA,NA,NA,NA,NA,NA
education,chisq.test.no.correct,categorical,level,education,5,241 (17%),97 (16%),62 (14%),82 (21%),NA,NA,NA,NA,NA,NA
education,chisq.test.no.correct,categorical,level,education,6,58 (4.0%),5 (0.8%),27 (5.9%),26 (6.7%),NA,NA,NA,NA,NA,NA
employment,chisq.test.no.correct,categorical,label,employment,employment,NA,NA,NA,NA,NA,6,108.48035172116353,NA,NA,4.24046355559676e-21
employment,chisq.test.no.correct,categorical,level,employment,Full-time,407 (30%),98 (18%),137 (31%),172 (44%),NA,NA,NA,NA,NA,NA
employment,chisq.test.no.correct,categorical,level,employment,Part-time/casual,468 (34%),173 (33%),163 (37%),132 (34%),NA,NA,NA,NA,NA,NA
employment,chisq.test.no.correct,categorical,level,employment,Student,53 (3.9%),19 (3.6%),18 (4.0%),16 (4.1%),NA,NA,NA,NA,NA,NA
employment,chisq.test.no.correct,categorical,level,employment,Not working,437 (32%),241 (45%),128 (29%),68 (18%),NA,NA,NA,NA,NA,NA
comorbidity,fisher.test,categorical,label,comorbidity,comorbidity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
comorbidity,fisher.test,categorical,level,comorbidity,0,"1,070 (73%)",458 (75%),298 (65%),314 (79%),NA,NA,NA,NA,NA,NA
comorbidity,fisher.test,categorical,level,comorbidity,1,294 (20%),120 (20%),114 (25%),60 (15%),NA,NA,NA,NA,NA,NA
comorbidity,fisher.test,categorical,level,comorbidity,2,75 (5.1%),27 (4.4%),34 (7.4%),14 (3.5%),NA,NA,NA,NA,NA,NA
comorbidity,fisher.test,categorical,level,comorbidity,3,19 (1.3%),2 (0.3%),12 (2.6%),5 (1.3%),NA,NA,NA,NA,NA,NA
comorbidity,fisher.test,categorical,level,comorbidity,4,3 (0.2%),0 (0%),1 (0.2%),2 (0.5%),NA,NA,NA,NA,NA,NA
comorbidity,fisher.test,categorical,level,comorbidity,5,1 (<0.1%),0 (0%),1 (0.2%),0 (0%),NA,NA,NA,NA,NA,NA
gen_health,fisher.test,categorical,label,gen_health,gen_health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gen_health,fisher.test,categorical,level,gen_health,1,4 (0.3%),3 (0.5%),1 (0.2%),0 (0%),NA,NA,NA,NA,NA,NA
gen_health,fisher.test,categorical,level,gen_health,2,23 (1.6%),1 (0.2%),9 (2.0%),13 (3.3%),NA,NA,NA,NA,NA,NA
gen_health,fisher.test,categorical,level,gen_health,3,380 (26%),47 (7.7%),130 (28%),203 (52%),NA,NA,NA,NA,NA,NA
gen_health,fisher.test,categorical,level,gen_health,4,715 (49%),330 (54%),252 (55%),133 (34%),NA,NA,NA,NA,NA,NA
gen_health,fisher.test,categorical,level,gen_health,5,336 (23%),226 (37%),65 (14%),45 (11%),NA,NA,NA,NA,NA,NA
livelihood_disruption,kruskal.test,continuous,label,livelihood_disruption,livelihood_disruption,2.58 (2.61),2.65 (2.77),2.42 (2.43),2.65 (2.54),NA,2,1.6947239378105756,NA,NA,0.42854395437292403
perceived_risk,kruskal.test,continuous,label,perceived_risk,perceived_risk,8.2 (6.3),8.8 (6.7),8.6 (5.7),6.9 (6.0),NA,2,25.667387011872066,NA,NA,2.669302098801716e-6
risk_self,chisq.test.no.correct,categorical,label,risk_self,risk_self,NA,NA,NA,NA,NA,4,19.099929657381896,NA,NA,7.51197241239909e-4
