term,outcome,estimate,std.error,df,p.value,fmi,p_adj,p_adj_family15,conf.low,conf.high,statistic,sig
(Intercept),Depression,0.5584,0.2673,68365.7,0.0367,0.021,NA,NA,0.03449235153358765,1.0823076484664123,2.089038533482978,*
countryNepal,Depression,-0.2662,0.1902,2469699.9,0.1617,0.003,NA,NA,-0.6389853325562926,0.1065853325562926,-1.3995793901156677,
countryVietnam,Depression,0.1125,0.2055,325434.5,0.5843,0.009,NA,NA,-0.2902740968310906,0.5152740968310906,0.5474452554744526,
age,Depression,-0.0116,0.0022,26845.6,0,0.033,NA,NA,-0.015912115182503992,-0.007287884817496007,-5.2727272727272725,***
female1,Depression,0.0318,0.0512,48442.9,0.534,0.025,NA,NA,-0.06855266335772559,0.1321526633577256,0.62109375,
ethnicity_minority1,Depression,0.0502,0.0651,629.1,0.441,0.217,NA,NA,-0.07763960572476566,0.17803960572476565,0.771121351766513,
education,Depression,-0.0163,0.0191,256224.6,0.3934,0.011,NA,NA,-0.05373548894406183,0.021135488944061826,-0.8534031413612565,
employmentPart-time/casual,Depression,0.0046,0.0594,20233.4,0.9381,0.038,NA,NA,-0.11182882546256487,0.12102882546256485,0.07744107744107744,
employmentStudent,Depression,0.3928,0.1285,3555,0.0023,0.091,NA,NA,0.14085885051771702,0.644741149482283,3.0568093385214006,**
employmentNot working,Depression,0.0117,0.0665,6291.6,0.8603,0.068,NA,NA,-0.11866268378714771,0.1420626837871477,0.17593984962406015,
comorbidity,Depression,0.2304,0.0361,249838,0,0.011,NA,NA,0.1596449573783858,0.3011550426216142,6.382271468144044,***
gen_health,Depression,-0.1387,0.0336,516346.5,0,0.007,NA,NA,-0.20455494425071583,-0.07284505574928415,-4.127976190476191,***
perceived_risk,Depression,0.0119,0.0039,93105.5,0.0025,0.018,NA,NA,0.004256041089407775,0.019543958910592227,3.0512820512820515,**
risk_self,Depression,-5e-4,0.0387,123373.1,0.9887,0.015,NA,NA,-0.0763513503491843,0.0753513503491843,-0.012919896640826874,
health_trust,Depression,-0.0152,0.0148,14812.6,0.30620000000000003,0.044,NA,NA,-0.04420983741490143,0.01380983741490143,-1.027027027027027,
worry_health_fear,Depression,-0.0106,0.0125,3629.8,0.3949,0.09,0.3949,0.4231071428571428,-0.03510772191339218,0.013907721913392184,-0.848,
worry_economic,Depression,0.0284,0.0103,2577.2,0.006,0.107,0.0075,0.01125,0.008202885596055167,0.04859711440394483,2.7572815533980584,**
worry_basic_needs,Depression,0.0743,0.0199,10612,2e-4,0.052,5e-4,7.5e-4,0.03529226764142749,0.11330773235857253,3.7336683417085426,***
worry_social,Depression,0.051,0.0119,9167.2,0,0.056,0,0,0.02767334872404822,0.07432665127595177,4.285714285714285,***
worry_safety_stigma,Depression,0.0906,0.0283,3049.6,0.0014,0.098,0.00233333333333333,0.003,0.035110996193144416,0.14608900380685558,3.2014134275618376,**
livelihood_disruption,Depression,0.0157,0.0092,218162.1,0.088,0.012,NA,NA,-0.0023317686981253923,0.033731768698125386,1.7065217391304346,
(Intercept),Anxiety,0.4747,0.2333,24527.7,0.0419,0.034,NA,NA,0.017417836991957647,0.9319821630080424,2.034719245606515,*
countryNepal,Anxiety,-0.2523,0.0872,57382.5,0.0038,0.023,NA,NA,-0.42321246449420513,-0.08138753550579489,-2.8933486238532113,**
countryVietnam,Anxiety,-0.311,0.0946,12654.9,0.001,0.048,NA,NA,-0.4964303281988586,-0.12556967180114145,-3.2875264270613105,**
age,Anxiety,-0.0112,0.0022,8937.7,0,0.057,NA,NA,-0.015512504774349373,-0.006887495225650626,-5.090909090909091,***
female1,Anxiety,0.0346,0.0511,92876.3,0.4981,0.018,NA,NA,-0.06555546483654867,0.13475546483654866,0.6771037181996086,
ethnicity_minority1,Anxiety,0.0458,0.0656,462.9,0.4851,0.254,NA,NA,-0.08311069024257262,0.17471069024257263,0.698170731707317,
education,Anxiety,0.0121,0.0191,58267.2,0.5259,0.022,NA,NA,-0.025336089751585453,0.04953608975158545,0.6335078534031414,
employmentPart-time/casual,Anxiety,-0.0228,0.0616,4636.6,0.7118,0.079,NA,NA,-0.14356530657679006,0.09796530657679008,-0.37012987012987014,
employmentStudent,Anxiety,0.2008,0.1289,7238.7,0.1194,0.064,NA,NA,-0.05188160773890624,0.4534816077389062,1.5577967416602019,
employmentNot working,Anxiety,0.0041,0.0692,2259.4,0.9522,0.114,NA,NA,-0.13160220298119044,0.13980220298119042,0.0592485549132948,
comorbidity,Anxiety,0.2481,0.0366,307130.6,0,0.01,NA,NA,0.17636503546699717,0.3198349645330028,6.778688524590163,***
gen_health,Anxiety,-0.177,0.0342,459410,0,0.008,NA,NA,-0.2440309448714444,-0.1099690551285556,-5.175438596491228,***
perceived_risk,Anxiety,0.0188,0.004,87978.1,0,0.018,NA,NA,0.010960036203028902,0.0266399637969711,4.7,***
risk_self,Anxiety,0.0577,0.0392,78558.7,0.1409,0.019,NA,NA,-0.01913177195134698,0.13453177195134697,1.4719387755102042,
health_trust,Anxiety,0.0112,0.015,15108.1,0.4562,0.044,NA,NA,-0.01820181525098255,0.040601815250982554,0.7466666666666667,
worry_health_fear,Anxiety,0.0551,0.0129,1695.5,0,0.132,0,0,0.02979840279762123,0.08040159720237877,4.271317829457365,***
worry_economic,Anxiety,0.0129,0.0106,2129.2,0.2227,0.118,0.2227,0.25696153846153846,-0.007887434943119538,0.033687434943119536,1.2169811320754718,
