term,outcome,estimate,se,t_value,df,p_value,riv,fmi
(Intercept),z_depression,0.5286095031084905,0.267508927444181,1.976044344235171,37362.11325957299,0.04815709952841862,0.028658571020083175,0.027912173867754023
countryNepal,z_depression,-0.27635616432117965,0.19213372595951766,-1.4383532247712072,3832111.304350837,0.1503339389070837,0.0027585210521928944,0.002751453016223724
countryVietnam,z_depression,0.1374780690678482,0.20652397094765337,0.665676088044492,381860.2924182028,0.5056185628239442,0.008791197412172411,0.008719777602327079
age,z_depression,-0.011702255396340787,0.002186603773765935,-5.35179511566756,10900.601341664174,8.88519342545635e-8,0.05438418884567953,0.051753065967756987
female1,z_depression,0.028433799193747555,0.051312741515576354,0.5541274614048105,23045.83422725655,0.5794969940788393,0.0367780392249833,0.03555709140695047
ethnicity_minority1,z_depression,0.09864730109682503,0.06525836194778827,1.5116423114596487,507.471643358295,0.13124732641089198,0.3141509358384148,0.24203375161220933
education,z_depression,-0.01658680933859807,0.019304530264750902,-0.8592184897078147,46348.35765019162,0.39022442801650437,0.025655672945345005,0.0250559932591505
employmentPart-time/casual,z_depression,0.001529111449392713,0.05976139283931925,0.02558694462667633,12126.904553451759,0.9795872203447642,0.05141603908385293,0.04905852576479383
employmentStudent,z_depression,0.3709396079067668,0.13072465508159983,2.8375642504103147,1676.6456086994735,0.0046006174727111215,0.1514315976279245,0.13255005795691863
employmentNot working,z_depression,0.01714414089455635,0.06587626282774824,0.26024762423734427,16635.069192070867,0.7946759916609918,0.04357216922056128,0.041868091891445844
comorbidity,z_depression,0.22930599367910265,0.03598822365525784,6.371695248859589,496028.3869989955,1.8711299176743523e-10,0.00770511627482921,0.007650202577363035
gen_health,z_depression,-0.1364272028233898,0.03361365439725907,-4.058684045805932,305439.84724537225,4.936229657492852e-5,0.009839854088254796,0.009750458865540379
perceived_risk,z_depression,0.011937175715974096,0.003937397316441389,3.031742736789105,141389.54773317103,0.0024319034195827705,0.014529647876185381,0.014335503081346557
risk_self,z_depression,0.0013512593064210457,0.03857114968854278,0.035032901983277555,126250.77979433475,0.9720535603639866,0.015389144601153898,0.015171509162723003
health_trust,z_depression,-0.015904668471793806,0.014873875167673646,-1.0693022694153336,9963.677040377563,0.28495939233370704,0.057026269002541846,0.05413956054658959
worry_health_fear,z_depression,-0.011346841393824435,0.012276035566026145,-0.924308286074598,8852.419600615065,0.3553510237427746,0.06071065742834278,0.0574487560721059
worry_economic,z_depression,0.028165675231851706,0.010325195846224593,2.727858691624768,2744.0438357540847,0.006415289215510711,0.11458173626454601,0.10345566222454516
