effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,worry_domain,worry_var,outcome
fixed,worry_health_fear:location_typePeri-urban,-0.0254943120690565,0.04645044869850677,-0.5488496404960682,734.6938673485571,0.5832753938922124,-0.11668574677875189,0.06569712264063889,worry_health_fear,worry_health_fear,Depression
fixed,worry_health_fear:location_typeRural,-0.04221281204792338,0.030843127915675214,-1.368629412792787,777.911292738146,0.1715102438392244,-0.10275843329563224,0.01833280919978547,worry_health_fear,worry_health_fear,Depression
fixed,worry_health_fear:location_typeRemote,-0.10199401663630923,0.030527531723700044,-3.341050221794584,864.9103064064337,8.70384696724361e-4,-0.16191072540006102,-0.04207730787255746,worry_health_fear,worry_health_fear,Depression
fixed,worry_health_fear:location_typePeri-urban,-0.047736151074026914,0.04624709113363974,-1.0321979156718042,520.9564683728598,0.30245835460952275,-0.1385898605371561,0.04311755838910228,worry_health_fear,worry_health_fear,Anxiety
fixed,worry_health_fear:location_typeRural,0.02133683496802787,0.03076516822146505,0.6935387063198643,521.1066023019292,0.48828055511974766,-0.03910216155004828,0.08177583148610401,worry_health_fear,worry_health_fear,Anxiety
fixed,worry_health_fear:location_typeRemote,-0.0907051319780464,0.03091558350192461,-2.9339615075484398,853.814473547011,0.003436263869739609,-0.15138457908274905,-0.03002568487334377,worry_health_fear,worry_health_fear,Anxiety
fixed,worry_health_fear:location_typePeri-urban,-0.03265021815754887,0.04513090022709404,-0.7234559468846475,826.706171910892,0.46960445282322916,-0.12123484896500525,0.055934412649907506,worry_health_fear,worry_health_fear,Stress
fixed,worry_health_fear:location_typeRural,0.031044066734055725,0.029905664931009067,1.0380664267346302,847.5880955882949,0.29953517253680506,-0.027653778529758175,0.08974191199786963,worry_health_fear,worry_health_fear,Stress
fixed,worry_health_fear:location_typeRemote,-0.09988490064697986,0.029406355235728456,-3.396711351892417,863.0285163285023,7.131817885249779e-4,-0.15760124083318863,-0.04216856046077108,worry_health_fear,worry_health_fear,Stress
fixed,worry_economic:location_typePeri-urban,0.12130460800619126,0.02829944008534876,4.2864667159613985,835.8136635835691,2.0268435295415937e-5,0.0657582885258074,0.17685092748657513,worry_economic,worry_economic,Depression
fixed,worry_economic:location_typeRural,-0.03528761194253311,0.02495757130753176,-1.4139040817599078,821.6911329053451,0.15776882077512702,-0.08427571128879235,0.01370048740372614,worry_economic,worry_economic,Depression
fixed,worry_economic:location_typeRemote,-0.03146140783286341,0.020276919643753177,-1.5515871436890514,864.0114769749844,0.12112723670224818,-0.07125919007762552,0.008336374411898696,worry_economic,worry_economic,Depression
fixed,worry_economic:location_typePeri-urban,0.02641585447773873,0.028987622259240675,0.9112804852187517,775.9459222500465,0.3624306131685111,-0.030487599997889223,0.08331930895336669,worry_economic,worry_economic,Anxiety
fixed,worry_economic:location_typeRural,-0.04109502051367605,0.025525141476643615,-1.6099820857517837,720.2673367070404,0.10783991289999431,-0.0912075871158187,0.009017546088466596,worry_economic,worry_economic,Anxiety
fixed,worry_economic:location_typeRemote,-0.007639635203119966,0.02089147330290414,-0.3656819742845984,864.7460863159956,0.7146918306463337,-0.04864356129759096,0.03336429089135103,worry_economic,worry_economic,Anxiety
fixed,worry_economic:location_typePeri-urban,0.09812999102111129,0.027710643088505384,3.5412383143795196,858.914170240915,4.1968097552675206e-4,0.04374148725653778,0.1525184947856848,worry_economic,worry_economic,Stress
fixed,worry_economic:location_typeRural,0.012223994885877788,0.024452174802081006,0.4999144241696433,856.3734874351255,0.6172637592655859,-0.03576921713258561,0.06021720690434119,worry_economic,worry_economic,Stress
fixed,worry_economic:location_typeRemote,-0.0044343089735144675,0.019781792269210126,-0.22416113328701567,862.2369397319983,0.822685029290201,-0.04326041016693508,0.034391792219906146,worry_economic,worry_economic,Stress
fixed,worry_basic_needs:location_typePeri-urban,0.08149352084642508,0.045985365448740156,1.7721620792003019,604.398070068307,0.07687138002435222,-0.008816988321080174,0.17180403001393035,worry_basic_needs,worry_basic_needs,Depression
fixed,worry_basic_needs:location_typeRural,-0.06967660167955918,0.04969580133138958,-1.4020621423313087,580.6246120955251,0.16143106742823043,-0.16728204245763223,0.02792883909851386,worry_basic_needs,worry_basic_needs,Depression
fixed,worry_basic_needs:location_typeRemote,-0.07706488132519619,0.04512737272705979,-1.7077192104956216,864.1300583290468,0.08804763536697932,-0.1656369642108877,0.011507201560495312,worry_basic_needs,worry_basic_needs,Depression
