term,outcome,estimate,se,t_value,df,p_value,riv,fmi
(Intercept),z_depression,0.4845217321484344,0.26374595112005006,1.837077422765414,21163.054355328008,0.06621248040794336,0.038440721967935486,0.03710872664674267
countryNepal,z_depression,-0.27896640051711535,0.18410492704470338,-1.515257657658332,2827769.6872530417,0.12970727850030217,0.0032126987363276585,0.003203115362080017
countryVietnam,z_depression,0.12669377476465737,0.19052845457606662,0.664959861489225,409999.2725650566,0.506076540244282,0.008481553672695267,0.008415058920544165
age,z_depression,-0.010647629700106846,0.0021771888620673685,-4.890540221667448,6138.984140074945,1.0312064255835196e-6,0.07380324461554447,0.06903394328499578
female1,z_depression,0.040882995958789435,0.05038837805164741,0.8113576491167251,79805.43592420187,0.4171627323781333,0.01943307294771128,0.019087209814482784
ethnicity_minority1,z_depression,0.09174721462764578,0.06631669762534896,1.3834707986511112,410.0867932820901,0.16727318971792693,0.3622608285983477,0.2694802775110504
education,z_depression,-0.015520011445592893,0.01932243050991692,-0.8032121754883529,27054.41524588623,0.4218591657274724,0.033848290300103764,0.032811590935415656
employmentPart-time/casual,z_depression,0.003455280265673348,0.058631902635928844,0.058931743817503185,20424.21780338298,0.9530070506153121,0.039156816246838824,0.03777555439041044
employmentStudent,z_depression,0.35647032541505724,0.12329125875726828,2.8912862842682476,6314.663632513334,0.003849776189996934,0.07269421060230692,0.0680629974572283
employmentNot working,z_depression,0.0013818822835354526,0.06624160826756922,0.02086124295101088,8110.892454740938,0.9833568566793089,0.06359780236493173,0.060026725367813394
comorbidity,z_depression,0.22694593760434917,0.036074459497621565,6.291041938391675,205646.2529087057,3.1597302552199835e-10,0.01201784978209476,0.0118847459868235
gen_health,z_depression,-0.13890425875208215,0.03335537334007632,-4.1643742774478065,267810.5429948834,3.123051762554674e-5,0.010515456341055,0.01041342233536145
perceived_risk,z_depression,0.01095012878471293,0.003875267118132539,2.8256449041865563,237970.80470309473,0.004718946874503693,0.011162412739046767,0.01104750026768039
risk_self,z_depression,0.004250736315603368,0.038293567904600964,0.11100392437166041,237295.56396743545,0.9116133286480148,0.01117846056780661,0.011063219011359857
health_trust,z_depression,-0.01478065926830531,0.01480135427562882,-0.9986018166352801,18866.861139051904,0.3180004268361385,0.04080550461786629,0.03930753013659784
worry_health_fear,z_depression,-0.010514389660933522,0.012293907887917422,-0.8552520286301455,9334.038415005058,0.3924335903716276,0.05902995489592298,0.055941907312844326
worry_economic,z_depression,0.02730132033272332,0.010424481243128555,2.6189620083703806,2085.50600228718,0.008883665246812278,0.1336860458527364,0.11876627456330661
worry_basic_needs,z_depression,0.07454503632750518,0.020165723295621947,3.6966210055896775,3347.6614136591243,2.2198935160222533e-4,0.10262575577961462,0.09361531082909247
worry_social,z_depression,0.054889503600650064,0.011880596859223836,4.620096469146249,8070.6783527571915,3.89509124754106e-6,0.06376614209477142,0.06017662917129145
worry_safety_stigma,z_depression,0.09665246158050919,0.027737209939672287,3.4845776410362035,7065.928864289254,4.959046401165068e-4,0.06844917811537471,0.06432884953206351
livelihood_disruption,z_depression,0.01696249023405475,0.009187989520506434,1.84615907497463,299610.68045194366,0.06487009701359936,0.009936060627771045,0.00984491620608683
(Intercept),z_anxiety,0.41337505827458354,0.23058196026786562,1.7927467430425534,11713.35890284898,0.0730392222029228,0.05236291418826508,0.04991967597550338
countryNepal,z_anxiety,-0.2557929153735708,0.08906387938206782,-2.8720163229839315,127732.15360281913,0.004079289992958479,0.015298277378130786,0.015083187981557758
countryVietnam,z_anxiety,-0.30106552967996425,0.09226445383865257,-3.2630717156409172,22234.214691291676,0.0011037789560286448,0.037468205867205374,0.036201731268717556
age,z_anxiety,-0.010071256372902711,0.0021652606281076887,-4.651290584683286,8078.354220236899,3.3510857688767715e-6,0.06373390907997557,0.06014792967276645
female1,z_anxiety,0.04193132743358125,0.050098038950261596,0.8369854052613032,220155.0016237023,0.4026016803110666,0.011610422283736776,0.011486147643960923
ethnicity_minority1,z_anxiety,0.07131281980189436,0.0650893656922988,1.0956139922920143,339.8801962382739,0.27402347167524566,0.4126349580035618,0.29623215591875945
education,z_anxiety,0.010689229166951865,0.019074968748311646,0.5603799045750985,34157.347790393454,0.5752240108360103,0.030012304272557397,0.029194652880461035
employmentPart-time/casual,z_anxiety,-0.023689674322901894,0.05918032697793008,-0.40029644195336067,18668.024846814456,0.6889427687765963,0.041031135175927526,0.03951683252671656
employmentStudent,z_anxiety,0.17515653152530264,0.12695302123464136,1.3796956529421145,3007.586656027945,0.16778293418755563,0.10888732914018005,0.09879421345213751
employmentNot working,z_anxiety,-0.008308446908042888,0.06684321833463538,-0.12429752957807233,7566.312297077283,0.9010830050746743,0.06599516232207969,0.062157305642990365
comorbidity,z_anxiety,0.24248960571930728,0.036358630282064555,6.66938231275796,479163.3823611503,2.5715873874787576e-11,0.007840595256965947,0.007783740017423878
gen_health,z_anxiety,-0.175892445109683,0.033731478626232686,-5.214489618397367,245342.2900283211,1.8447301020074747e-7,0.010991585246454435,0.01088014696027042
perceived_risk,z_anxiety,0.018594693616842583,0.003912214801768307,4.752983810714547,189276.24147641548,2.0058332173000792e-6,0.012533148847539737,0.012388448971652024
risk_self,z_anxiety,0.056301787010539506,0.03853479241181332,1.4610637163645261,283324.1310094828,0.14399906539710283,0.010220529739375527,0.010124114900009482
health_trust,z_anxiety,0.01273595904784317,0.014901212952517088,0.8546927749054034,20874.727527077648,0.392731060105314,0.03871553066144959,0.037364731134117396
worry_health_fear,z_anxiety,0.05535762747451693,0.01237232968356441,4.474309114802756,6152.9799246714,7.803895142988182e-6,0.07371306827099532,0.06895506612349192
worry_economic,z_anxiety,0.013287727953116512,0.01062758999349069,1.250304910262358,1600.471019721916,0.21137095775766013,0.15554744145447624,0.13568870473464056
worry_basic_needs,z_anxiety,0.03573116041593887,0.02018905632696348,1.7698281602304582,2498.100244661079,0.07687773540544529,0.12075488494347936,0.10845773206350882
worry_social,z_anxiety,0.04141383872581157,0.012060038938517932,3.4339722232191194,3600.7431508618533,6.015212400476422e-4,0.09859142210092231,0.09024865715784218
worry_safety_stigma,z_anxiety,0.07841561565402909,0.02780994977477157,2.8196964140210565,4351.461563423854,0.004828652731439176,0.08889279178805998,0.08205774847467576
livelihood_disruption,z_anxiety,0.008931394208625699,0.009292694750431854,0.9611199386712487,400974.7261103235,0.3364924450489877,0.008577281839278843,0.008509283127865088
(Intercept),z_stress,0.2635038690635617,0.26236992358467154,1.0043219339450096,24111.3647341459,0.31523354339187737,0.03592668301887145,0.034760781555292726
countryNepal,z_stress,-0.2417570335793364,0.1883825452803139,-1.2833303277625911,3130765.2129967026,0.1993764667898541,0.0030527942939149767,0.003044139981595776
countryVietnam,z_stress,-0.0026555202139773807,0.194898705759685,-0.013625130057311433,504225.74781073496,0.9891290608345442,0.007641746763008551,0.007587729707810213
age,z_stress,-0.00885933087459028,0.0021399680988000713,-4.139935954913491,5850.143720206602,3.5228739836856704e-5,0.07573957751395888,0.0707246212953546
female1,z_stress,0.1569107986343854,0.04949559799223814,3.170197047805989,76289.0446393645,0.0015239578847239255,0.019884697398909433,0.019522709285444084
ethnicity_minority1,z_stress,0.03129377384743314,0.06556166834728948,0.4773181439139952,384.5347567188949,0.6334067660178873,0.378586616218055,0.27836295458476157
education,z_stress,0.0078533904264834,0.01899062773865825,0.41354032813231634,25556.527769279073,0.6792142519641966,0.03486019045084004,0.03376150660761187
employmentPart-time/casual,z_stress,-0.005871361534124647,0.05796697458362586,-0.10128804506873731,11261.476658926302,0.9193236092368828,0.053458758236662594,0.05091448252921276
