term,outcome,estimate_mi,p_mi,estimate_cc,p_cc,sign_agree,both_sig05
worry_health_fear,Depression,-0.0095,0.4384,-0.046,0.0071,TRUE,FALSE
worry_economic,Depression,0.0263,0.0138,0.0411,0.0016,TRUE,TRUE
worry_basic_needs,Depression,0.0757,2e-4,0.0645,0.0139,TRUE,TRUE
worry_social,Depression,0.0551,0,0.0464,0.0027,TRUE,TRUE
worry_safety_stigma,Depression,0.0975,4e-4,0.1546,0,TRUE,TRUE
worry_health_fear,Anxiety,0.0565,0,0.0375,0.027,TRUE,TRUE
worry_economic,Anxiety,0.0125,0.247,0.0247,0.058,TRUE,FALSE
worry_basic_needs,Anxiety,0.0364,0.0758,0.0358,0.1677,TRUE,FALSE
worry_social,Anxiety,0.0425,7e-4,0.024,0.1176,TRUE,FALSE
worry_safety_stigma,Anxiety,0.0767,0.0059,0.0999,0.0053,TRUE,TRUE
worry_health_fear,Stress,0.0316,0.0095,0.001,0.9494,TRUE,FALSE
worry_economic,Stress,0.0312,0.0025,0.0483,1e-4,TRUE,TRUE
worry_basic_needs,Stress,0.046,0.0198,0.0467,0.0635,TRUE,FALSE
worry_social,Stress,0.07,0,0.0487,0.0011,TRUE,TRUE
worry_safety_stigma,Stress,0.0292,0.2868,0.0391,0.2568,TRUE,FALSE
