term,z_depression,z_anxiety,z_stress
worry_health_fear,2.421,2.421,2.421
worry_economic,2.548,2.548,2.548
worry_basic_needs,3.557,3.557,3.557
worry_social,1.616,1.616,1.616
worry_safety_stigma,2.756,2.756,2.756
age,1.321,1.321,1.321
female,1.129,1.129,1.129
ethnicity_minority,1.465,1.465,1.465
education,1.206,1.206,1.206
comorbidity,1.182,1.182,1.182
gen_health,1.377,1.377,1.377
perceived_risk,1.239,1.239,1.239
risk_self,1.147,1.147,1.147
health_trust,2.268,2.268,2.268
livelihood_disruption,1.148,1.148,1.148
country,2.031,2.031,2.031
