item,ML3,ML1,ML2,ML4,ML5,theoretical_domain
q51_2_quarantine,-0.07282725482118131,0.8809567015507861,0.030232318457566066,-0.049930492514551866,0.15479745525689906,Health fears
q51_3_infected,-0.03710753151995809,0.9989432974921728,0.020392603244204503,-0.007706898966924636,-0.015092401982525552,Health fears
q51_4_severe,0.0975226799773025,0.8193247724839756,0.07462633598918206,0.06262707879395464,-0.030579456614944794,Health fears
q51_5_death,0.29353433874594953,0.5655020537735971,-0.007683212492211887,0.16799115713907115,-0.06822946311873156,Health fears
q51_6_health_system,0.43665463953398403,0.4237567916804127,-0.04707411512255768,0.2514747317321399,-0.12216824692766122,Health fears
q51_10_income,0.21839558739274645,0.16148876841035592,-0.09249883209341339,0.3030550540785829,0.43689680696869543,Economic concerns
q51_14_rent,0.19221683278282445,0.12104856888185996,0.1592307767997403,-0.042333108069487195,0.5846986885715428,Economic concerns
q51_15_debt,0.23304316742177036,0.10150417196519852,0.14463517442585563,0.09697060912185913,0.5310644693147587,Economic concerns
q51_16_agri,0.004834261823888483,-0.023464217224341305,0.8612215935224581,0.035745407903068405,0.15466399615626483,Economic concerns
q51_17_harvest,0.055417578338621334,-0.007243726925148577,0.947769954388266,0.02595078996495046,-0.12140395785082567,Economic concerns
q51_18_produce,-0.009052246559054504,0.09336064078338449,0.8385052143034092,0.0029371709981269242,0.02239670979224108,Economic concerns
q51_21_recession,0.2816923542994226,0.08797185934067,0.14664491730296553,0.2439927962936337,0.26197208351685297,Economic concerns
q51_11_food,0.6877301236521467,-0.03673225994497373,0.006537359043366821,0.21893517363057732,0.21141162798338245,Basic needs
q51_12_water,0.8197975097782063,-0.07682045788443975,0.07315418519044624,-0.07451151688626646,0.1474759202902551,Basic needs
q51_13_medicine,0.7390376022111388,0.02648352161256375,0.20307063457535857,0.061442549450311315,-0.03355169670212988,Basic needs
q51_1_lonely,0.2544618150953595,0.27309926980165383,-0.03789449778298316,0.15285136492067117,0.16113852882867433,Social/family
q51_7_education,0.04527309046237804,0.0835739383707954,0.023789084155393186,0.8277571056684704,-0.10984269016312201,Social/family
q51_8_teaching,-0.07183636614569204,-0.06343560200900843,0.03928067271507091,0.7991941234594693,0.06325198657323439,Social/family
q51_9_children_home,-0.07212326446778268,-0.04069954226055737,0.20829948813114588,0.5898639572174239,0.19537821481415066,Social/family
q51_19_stigma,0.5775878733403572,0.3587717524926606,0.0771757414115418,-0.08297732073588733,-0.017059743790925275,Safety/stigma
q51_20_abuse,0.7273090300884417,0.16759302593655945,0.09291861404936744,-0.02699192798649621,0.011111660793228935,Safety/stigma
