term,outcome,estimate,std.error,df,p.value,fmi,p_adj,p_adj_family15,conf.low,conf.high,statistic,sig,reliability,beta_corrected,se_corrected
worry_health_fear,Depression,-0.0106,0.0125,3629.8,0.3949,0.09,0.3949,0.4231071428571428,-0.03510772191339218,0.01390772191339218,-0.848,NA,0.871,-0.0114,0.0134
worry_economic,Depression,0.0284,0.0103,2577.2,0.006,0.107,0.0075,0.01125,0.00820288559605516,0.04859711440394483,2.7572815533980584,**,0.818,0.0314,0.0114
worry_basic_needs,Depression,0.0743,0.0199,10612,2e-4,0.052,5e-4,7.5e-4,0.03529226764142749,0.11330773235857251,3.7336683417085426,***,0.838,0.0812,0.0217
worry_social,Depression,0.051,0.0119,9167.2,0,0.056,0,0,0.02767334872404822,0.07432665127595177,4.285714285714285,***,0.681,0.0618,0.0144
worry_safety_stigma,Depression,0.0906,0.0283,3049.6,0.0014,0.098,0.00233333333333333,0.003,0.03511099619314441,0.14608900380685558,3.2014134275618376,**,0.864,0.0975,0.0304
worry_health_fear,Anxiety,0.0551,0.0129,1695.5,0,0.132,0,0,0.02979840279762123,0.08040159720237877,4.271317829457365,***,0.871,0.059,0.0138
worry_economic,Anxiety,0.0129,0.0106,2129.2,0.2227,0.118,0.2227,0.25696153846153846,-0.00788743494311953,0.03368743494311953,1.2169811320754718,NA,0.818,0.0143,0.0117
worry_basic_needs,Anxiety,0.0373,0.0204,3031.3,0.0676,0.098,0.08449999999999999,0.08449999999999999,-0.00269923643019321,0.07729923643019321,1.8284313725490196,NA,0.838,0.0407,0.0223
worry_social,Anxiety,0.0427,0.012,6519.7,4e-4,0.067,0.001,0.0012,0.01917606504431547,0.06622393495568453,3.5583333333333336,***,0.681,0.0517,0.0145
worry_safety_stigma,Anxiety,0.0746,0.0281,3561.4,0.008,0.091,0.01333333333333333,0.01333333333333333,0.01950628819065859,0.12969371180934142,2.6548042704626336,**,0.864,0.0803,0.0302
worry_health_fear,Stress,0.03,0.0124,2913.8,0.0157,0.1,0.023875,0.02354999999999999,0.00568634700406995,0.05431365299593004,2.4193548387096775,*,0.871,0.0321,0.0133
worry_economic,Stress,0.033,0.0103,1964.8,0.0014,0.122,0.0035,0.003,0.01279992735338651,0.05320007264661348,3.203883495145631,**,0.818,0.0365,0.0114
worry_basic_needs,Stress,0.0469,0.02,4577.4,0.0191,0.08,0.023875,0.02604545454545454,0.00769035246733054,0.08610964753266945,2.345,*,0.838,0.0512,0.0218
worry_social,Stress,0.068,0.0117,8478.4,0,0.059,0,0,0.04506514724085558,0.09093485275914442,5.811965811965813,***,0.681,0.0824,0.0142
worry_safety_stigma,Stress,0.0213,0.0278,3568.6,0.4441,0.091,0.4441,0.4441,-0.03320548532895533,0.07580548532895534,0.7661870503597122,NA,0.864,0.0229,0.0299
