outcome,worry,moderator,beta,se,df,t,p,sig,p_adj_BH,sig_BH
z_depression,worry_health_fear,gender,-0.0138,0.0228,887.8,-0.604,0.546,,0.652,
z_depression,worry_economic,gender,-0.0309,0.0169,889,-1.827,0.06806,,0.4539,
z_depression,worry_basic_needs,gender,-0.0146,0.0284,889.9,-0.512,0.6085,,0.652,
z_depression,worry_social,gender,-0.0359,0.0248,885.9,-1.447,0.1481,,0.4852,
z_depression,worry_safety_stigma,gender,-0.0443,0.0436,881.2,-1.016,0.3097,,0.5807,
z_anxiety,worry_health_fear,gender,-0.0082,0.023,891.9,-0.354,0.7232,,0.7232,
z_anxiety,worry_economic,gender,-0.0123,0.0171,890.5,-0.723,0.4696,,0.652,
z_anxiety,worry_basic_needs,gender,-0.0197,0.0286,881.6,-0.691,0.4898,,0.652,
z_anxiety,worry_social,gender,-0.0141,0.0251,891.8,-0.562,0.5742,,0.652,
z_anxiety,worry_safety_stigma,gender,0.0353,0.0441,883.3,0.8,0.4242,,0.652,
z_stress,worry_health_fear,gender,-0.0285,0.022,885.5,-1.299,0.1941,,0.4852,
z_stress,worry_economic,gender,-0.0372,0.0163,886.2,-2.29,0.02228,*,0.3342,
z_stress,worry_basic_needs,gender,-0.0462,0.0273,886.9,-1.693,0.09078,,0.4539,
z_stress,worry_social,gender,-0.0247,0.0239,883.8,-1.034,0.3016,,0.5807,
z_stress,worry_safety_stigma,gender,-0.0565,0.0419,880.8,-1.347,0.1783,,0.4852,
z_depression,worry_health_fear,age (centred),0.0018,0.001,888.8,1.828,0.0679,,0.2374,
z_depression,worry_economic,age (centred),-1e-4,8e-4,886.6,-0.156,0.876,,0.876,
z_depression,worry_basic_needs,age (centred),-3e-4,0.0013,887,-0.249,0.8036,,0.876,
z_depression,worry_social,age (centred),-0.0023,0.0011,886.6,-2.158,0.03117,*,0.1945,
z_depression,worry_safety_stigma,age (centred),0.0028,0.0021,882.5,1.311,0.1902,,0.317,
z_anxiety,worry_health_fear,age (centred),0.0017,0.001,857.5,1.748,0.08086,,0.2374,
z_anxiety,worry_economic,age (centred),5e-4,8e-4,874.1,0.647,0.5175,,0.6469,
z_anxiety,worry_basic_needs,age (centred),0.0012,0.0013,855,0.874,0.3823,,0.5213,
z_anxiety,worry_social,age (centred),-0.0018,0.0011,853.1,-1.647,0.09988,,0.2374,
z_anxiety,worry_safety_stigma,age (centred),0.0053,0.0022,889.3,2.461,0.01404,*,0.1945,
z_stress,worry_health_fear,age (centred),0.0019,9e-4,886.8,2.068,0.0389,*,0.1945,
z_stress,worry_economic,age (centred),1e-4,7e-4,884.7,0.191,0.8485,,0.876,
z_stress,worry_basic_needs,age (centred),0.0013,0.0013,885,1.034,0.3012,,0.4518,
z_stress,worry_social,age (centred),-0.0016,0.001,885,-1.596,0.1108,,0.2374,
z_stress,worry_safety_stigma,age (centred),0.0029,0.0021,881.6,1.392,0.1644,,0.3082,
