lhs,op,rhs,est.std,se,z,pvalue,ci.lower,ci.upper
HFEAR,=~,q51_2_quarantine,0.7305847384736674,0.030424409238210718,24.013111733854448,0,0.6709539921158667,0.7902154848314682
HFEAR,=~,q51_3_infected,0.8797390849315068,0.015813072320038812,55.6336597421789,0,0.8487460326993035,0.91073213716371
HFEAR,=~,q51_4_severe,0.8689884908765674,0.019353543361602343,44.9007437367077,0,0.8310562429145926,0.9069207388385422
HFEAR,=~,q51_5_death,0.725181273543297,0.026633718022471924,27.227939896766678,0,0.6729801454448566,0.7773824016417373
HFEAR,=~,q51_6_health_system,0.6845977677773036,0.02323276638503098,29.46690705840327,0,0.6390623824014101,0.7301331531531972
ECON,=~,q51_10_income,0.5264948431631831,0.0517423721737912,10.175313211284616,0,0.4250816572278849,0.6279080290984813
ECON,=~,q51_14_rent,0.5280520112864477,0.04545867683792079,11.616088456977623,0,0.43895464189927785,0.6171493806736176
ECON,=~,q51_15_debt,0.6495562500716682,0.03835926991637276,16.933488345522974,0,0.5743734625623268,0.7247390375810095
ECON,=~,q51_16_agri,0.7593687853828884,0.05287815557580821,14.360727546448313,0,0.6557295048853985,0.8630080658803784
ECON,=~,q51_17_harvest,0.71587360528082,0.05900155195352029,12.133131783461636,0,0.6002326884199514,0.8315145221416886
ECON,=~,q51_18_produce,0.6920645972826726,0.05863885912261232,11.802149762763692,0,0.5771345453078345,0.8069946492575106
ECON,=~,q51_21_recession,0.6417349667770417,0.03702366009136134,17.333104430881928,0,0.5691699264221205,0.7143000071319628
BNEED,=~,q51_11_food,0.7996408165406608,0.019694255369386723,40.60274438116832,0,0.7610407853143282,0.8382408477669934
BNEED,=~,q51_12_water,0.738307839847621,0.027753026215624206,26.602786813640297,0,0.6839129080030016,0.7927027716922405
BNEED,=~,q51_13_medicine,0.840625370187443,0.0173250994858217,48.52066626661414,0,0.806668799166659,0.874581941208227
SOC,=~,q51_1_lonely,0.3935527467077589,0.0430085200978341,9.150576346559252,0,0.309257596287637,0.47784789712788084
SOC,=~,q51_7_education,0.7616723825888335,0.025915142954850735,29.391016052499353,0,0.7108796357431192,0.8124651294345479
SOC,=~,q51_8_teaching,0.6690177537222946,0.027265186767283293,24.53743520748879,0,0.6155789696266613,0.7224565378179278
SOC,=~,q51_9_children_home,0.615947961832594,0.031120173507834425,19.792561943060203,0,0.554953542564601,0.676942381100587
STIG,=~,q51_19_stigma,0.8464195300169409,0.02277742659168167,37.16045474276949,0,0.80177659423674,0.8910624657971419
STIG,=~,q51_20_abuse,0.8771347177927559,0.023337379675118477,37.584970121042645,0,0.8313942941359866,0.9228751414495251
q51_2_quarantine,~~,q51_2_quarantine,0.46624593990936297,0.04445521793914794,10.48799132078441,0,0.3791153138237541,0.5533765659949719
q51_3_infected,~~,q51_3_infected,0.22605914244387557,0.02782275562881103,8.12497315002784,4.440892098500626e-16,0.1715275434607469,0.28059074142700424
q51_4_severe,~~,q51_4_severe,0.24485900272406605,0.03363601243777804,7.279667980175154,3.346212196220222e-13,0.17893362976247978,0.3107843756856523
q51_5_death,~~,q51_5_death,0.4741121205021218,0.038628547016230357,12.273620343600204,0,0.3984015595751982,0.5498226814290454
q51_6_health_system,~~,q51_6_health_system,0.5313258963543329,0.03181019970568995,16.703004107808027,0,0.468979050590154,0.5936727421185118
q51_10_income,~~,q51_10_income,0.7228031801225752,0.054484184590321935,13.266293430974228,0,0.616016140598512,0.8295902196466384
q51_14_rent,~~,q51_14_rent,0.7211610733763373,0.04800909194025721,15.021343754507049,0,0.627064982242961,0.8152571645097135
q51_15_debt,~~,q51_15_debt,0.5780766779928324,0.049833006708558295,11.600276928374738,0,0.48040577960271524,0.6757475763829495
q51_16_agri,~~,q51_16_agri,0.4233590477861169,0.08030804449040672,5.271689162306643,1.3517387098538336e-7,0.2659581729160794,0.5807599226561544
q51_17_harvest,~~,q51_17_harvest,0.4875249812622408,0.08447530816005479,5.771212818052472,7.870299967294159e-9,0.32195641968561095,0.6530935428388707
q51_18_produce,~~,q51_18_produce,0.5210465931879722,0.08116375553029438,6.419695463617273,1.365472179770677e-10,0.36196855549858165,0.6801246308773627
q51_21_recession,~~,q51_21_recession,0.5881762324156693,0.04751875475441313,12.37777032364352,0,0.4950411845068281,0.6813112803245105
q51_11_food,~~,q51_11_food,0.3605745645221852,0.03149666077716377,11.448025143783337,0,0.2988422437656689,0.4223068852787015
q51_12_water,~~,q51_12_water,0.4549015336195395,0.04098055361796455,11.10042431003483,0,0.3745811244618164,0.5352219427772626
q51_13_medicine,~~,q51_13_medicine,0.29334898699722445,0.029127836308297666,10.07108746054227,0,0.2362594768853829,0.350438497109066
q51_1_lonely,~~,q51_1_lonely,0.8451162355587786,0.033852244394969463,24.964850947500697,0,0.7787670557487906,0.9114654153687666
q51_7_education,~~,q51_7_education,0.4198551816014497,0.03947769686600203,10.635250152169506,0,0.342480317551496,0.4972300456514034
q51_8_teaching,~~,q51_8_teaching,0.5524152452043753,0.036481787515614365,15.14221979852109,0,0.48091225558212825,0.6239182348266225
q51_9_children_home,~~,q51_9_children_home,0.6206081083142735,0.03833681608137656,16.188305961479035,0,0.5454693295128394,0.6957468871157075
q51_19_stigma,~~,q51_19_stigma,0.283573979205901,0.03855851771498812,7.354379680826597,1.9184653865522705e-13,0.20800067318727464,0.3591472852245273
q51_20_abuse,~~,q51_20_abuse,0.23063468684262228,0.040940051298476665,5.633473323254091,1.7661584861272672e-8,0.15039366077238575,0.3108757129128588
HFEAR,~~,HFEAR,1,0,NA,NA,1,1
ECON,~~,ECON,1.0000000000000002,0,NA,NA,1.0000000000000002,1.0000000000000002
BNEED,~~,BNEED,1.0000000000000002,0,NA,NA,1.0000000000000002,1.0000000000000002
SOC,~~,SOC,0.9999999999999999,0,NA,NA,0.9999999999999999,0.9999999999999999
STIG,~~,STIG,1,0,NA,NA,1,1
HFEAR,~~,ECON,0.5260281290648695,0.04641466050342929,11.333232288233685,0,0.4350570661234944,0.6169991920062446
HFEAR,~~,BNEED,0.6238528074260323,0.02900424666381297,21.509016064339974,0,0.5670055285662429,0.6807000862858218
HFEAR,~~,SOC,0.42768908768045943,0.038829707863704516,11.014481210666933,0,0.35158425873738686,0.503793916623532
HFEAR,~~,STIG,0.6836607757454539,0.03126311234850571,21.867969130019485,0,0.6223862014977533,0.7449353499931546
ECON,~~,BNEED,0.7818529393934888,0.04277072274753364,18.280096504531805,0,0.6980238632155749,0.8656820155714027
ECON,~~,SOC,0.597223384387584,0.05301887048056364,11.264355105537794,0,0.4933083077446855,0.7011384610304826
ECON,~~,STIG,0.6263730706855432,0.04552502574804561,13.758873507335323,0,0.5371456598241151,0.7156004815469712
BNEED,~~,SOC,0.5199095084618847,0.04562183199427805,11.396068192243845,0,0.43049236084436254,0.6093266560794067
BNEED,~~,STIG,0.8085217992452067,0.028733049674464634,28.13908751091426,0,0.7522060567172557,0.8648375417731577
SOC,~~,STIG,0.3458652651582535,0.04602601404737456,7.514560457098338,5.706546346573305e-14,0.25565593527346475,0.43607459504304225
