lhs,op,rhs,est.std,se,pvalue,ci.lower,ci.upper,sig
HFEAR,~,perceived_risk,0.382,0.031,0,0.322,0.443,***
MATERIAL,~,livelihood_disruption,0.285,0.032,0,0.223,0.347,***
STIGMA,~,perceived_risk,0.3,0.04,0,0.221,0.379,***
SOCIAL,~,livelihood_disruption,0.326,0.04,0,0.248,0.405,***
DEPR,~,HFEAR,-0.211,0.092,0.0223,-0.393,-0.03,*
DEPR,~,MATERIAL,0.066,0.083,0.4266,-0.096,0.228,
DEPR,~,SOCIAL,0.287,0.062,0,0.165,0.409,***
DEPR,~,STIGMA,0.387,0.109,4e-4,0.174,0.6,***
DEPR,~,perceived_risk,0.164,0.042,1e-4,0.083,0.246,***
DEPR,~,comorbidity,0.211,0.032,0,0.148,0.274,***
DEPR,~,age,-0.22,0.036,0,-0.292,-0.148,***
DEPR,~,female,0.106,0.037,0.0038,0.034,0.178,**
ANX,~,HFEAR,-0.061,0.079,0.4388,-0.216,0.094,
ANX,~,MATERIAL,-0.017,0.076,0.8233,-0.167,0.132,
ANX,~,SOCIAL,0.279,0.057,0,0.168,0.391,***
ANX,~,STIGMA,0.382,0.099,1e-4,0.189,0.576,***
ANX,~,perceived_risk,0.184,0.038,0,0.11,0.258,***
ANX,~,comorbidity,0.218,0.033,0,0.153,0.283,***
ANX,~,age,-0.176,0.037,0,-0.248,-0.104,***
ANX,~,female,0.066,0.036,0.0681,-0.005,0.137,
STR,~,HFEAR,0.023,0.083,0.7835,-0.14,0.186,
STR,~,MATERIAL,0.064,0.076,0.3983,-0.085,0.213,
STR,~,SOCIAL,0.306,0.054,0,0.2,0.412,***
STR,~,STIGMA,0.192,0.105,0.0673,-0.014,0.397,
STR,~,perceived_risk,0.166,0.036,0,0.095,0.237,***
STR,~,comorbidity,0.24,0.031,0,0.179,0.3,***
STR,~,age,-0.178,0.035,0,-0.246,-0.11,***
STR,~,female,0.123,0.034,3e-4,0.057,0.19,***
