term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,sensitivity,effect
(Intercept),0.3275356842042476,0.41948638963474877,0.7808016953528252,0.45899967044400536,-0.6523171080784328,1.3073884764869281,7.452308427840006,Depression,Aggregate worry,NA
countryNepal,-0.3031847157620528,0.14749991714486663,-2.055490753017039,0.08702262782621159,-0.6667927653974919,0.060423333873386276,5.822192624313483,Depression,Aggregate worry,NA
countryVietnam,0.013969569970745386,0.16754221294466196,0.08337940466000314,0.93645037117891206,-0.40322165219388484,0.4311607921353756,5.5986620471218105,Depression,Aggregate worry,NA
age,-0.011348766609017999,0.003004659755113156,-3.777055485136154,0.0039349952874326395,-0.018087537580210804,-0.004609995637825193,9.5404327556172,Depression,Aggregate worry,NA
female,0.062115907267452454,0.07108498420707435,0.8738259979984733,0.40484750226073885,-0.09860273442672665,0.22283454896163155,9.031985113043874,Depression,Aggregate worry,NA
ethnicity_minority,0.12312669925090966,0.08033823762489824,1.532603936693161,0.17136212507818976,-0.06879328533649165,0.31504668383831097,6.665426402841652,Depression,Aggregate worry,NA
education,0.0036957697640519396,0.04626087821412033,0.07988974500107673,0.9379422048072819,-0.09975128099282833,0.1071428205209322,9.741883865217973,Depression,Aggregate worry,NA
employmentPart-time/casual,-0.04310779755673891,0.08611065518885823,-0.500609331820722,0.6287225062812478,-0.23806396038277583,0.151848365269298,8.951702082746461,Depression,Aggregate worry,NA
employmentStudent,0.4898229993889393,0.20304918844046063,2.4123366517791736,0.045694591510781424,0.012281780992085989,0.9673642177857926,7.192581590386946,Depression,Aggregate worry,NA
employmentNot working,0.022178816446053375,0.09549366171166287,0.2322543302718972,0.8222394969652681,-0.19848605670106612,0.24284368959317287,7.906096473842318,Depression,Aggregate worry,NA
comorbidity,0.25284399807916724,0.06312511360696824,4.0054422658695445,0.002901668829389998,0.11069306370506854,0.39499493245326595,9.27729831165396,Depression,Aggregate worry,NA
gen_health,-0.12711100444723564,0.05002844354988382,-2.5407747158972094,0.03253847396566038,-0.240915790384502,-0.013306218509969284,8.683181222170303,Depression,Aggregate worry,NA
perceived_risk,0.016833438249119398,0.006471005769158049,2.601363505090742,0.03554051805968191,0.0015132845650640218,0.032153591933174776,6.958193775466536,Depression,Aggregate worry,NA
risk_self,-0.010728498052562797,0.07076957258296694,-0.1515976098341587,0.8827460870501894,-0.1700660575815227,0.14860906147639713,9.28832400859524,Depression,Aggregate worry,NA
health_trust,-0.013718055117662489,0.02864022881377386,-0.47897854471976514,0.6439097614352702,-0.07898055281091801,0.051544442575593034,8.590544771323689,Depression,Aggregate worry,NA
worry_total,0.03922780013823278,0.00955095288311145,4.1072132402200054,0.004227039046879588,0.01678869464045991,0.061666905636005645,7.230790000405704,Depression,Aggregate worry,NA
livelihood_disruption,0.021792548986826026,0.012964896846036451,1.680888729437775,0.13467838810341914,-0.008578502730529434,0.05216360070418148,7.3406503738235385,Depression,Aggregate worry,NA
(Intercept),0.2752535666167007,0.37074046199099353,0.7424427458996571,0.4805621410973915,-0.5907365724444258,1.141243705677827,7.452308427840006,Anxiety,Aggregate worry,NA
countryNepal,-0.2391759141102605,0.13830345808047334,-1.729355993189219,0.1359851525352255,-0.5801133981705882,0.10176156995006719,5.822192624313483,Anxiety,Aggregate worry,NA
countryVietnam,-0.33880137186142656,0.08907137394166834,-3.803706587969588,0.010172346332829856,-0.5605950004729875,-0.11700774324986563,5.5986620471218105,Anxiety,Aggregate worry,NA
age,-0.010572268146268453,0.0023181905030963236,-4.560569173304548,0.001174978451054149,-0.015771444139948323,-0.0053730921525885844,9.5404327556172,Anxiety,Aggregate worry,NA
female,0.02661661765266655,0.06562593984078281,0.4055807462299508,0.6944902665230652,-0.1217594708949463,0.1749927062002794,9.031985113043874,Anxiety,Aggregate worry,NA
ethnicity_minority,0.07717796976735179,0.07212133114431628,1.0701129408290742,0.3217810710755404,-0.09511265012733099,0.24946858966203456,6.665426402841652,Anxiety,Aggregate worry,NA
education,0.016873779352733046,0.028226625254448096,0.5977965555791687,0.5636129437857047,-0.04624566947997552,0.0799932281854416,9.741883865217973,Anxiety,Aggregate worry,NA
employmentPart-time/casual,-0.03736287048620432,0.07185733737874106,-0.5199590167010293,0.6157045553162477,-0.2000492504182888,0.12532350944588017,8.951702082746461,Anxiety,Aggregate worry,NA
employmentStudent,0.33667825120062383,0.20621526544817753,1.632654354996003,0.1454125968374958,-0.148309105166127,0.8216656075673747,7.192581590386946,Anxiety,Aggregate worry,NA
employmentNot working,-0.003961873330958907,0.11223374014146578,-0.03530019872780803,0.9727153322954876,-0.2633093900899543,0.25538564342803644,7.906096473842318,Anxiety,Aggregate worry,NA
comorbidity,0.25800411918461136,0.0356631455895596,7.234474551233701,4.1799457105283445e-5,0.17769456917192356,0.33831366919729916,9.27729831165396,Anxiety,Aggregate worry,NA
gen_health,-0.17295808299233156,0.04696493360173083,-3.6827068565462087,0.005374973941852835,-0.2797939914445608,-0.06612217454010234,8.683181222170303,Anxiety,Aggregate worry,NA
