effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,worry_domain,worry_var,outcome
fixed,worry_health_fear:supportive_community,-0.04111427909773516,0.021439772061928743,-1.9176640021627394,796.8634026737784,0.055510812657867475,-0.08319938202311913,9.708238276488201e-4,worry_health_fear,worry_health_fear,Depression
fixed,worry_health_fear:supportive_community,-0.012508091969316498,0.02113512424431421,-0.5918153981366556,428.17919373607907,0.5542865503335135,-0.05404959677529886,0.029033412836665867,worry_health_fear,worry_health_fear,Anxiety
fixed,worry_health_fear:supportive_community,0.021711362652302384,0.020830778515436948,1.04227322258805,836.5823470031,0.29758612228596915,-0.019175366315011877,0.06259809161961664,worry_health_fear,worry_health_fear,Stress
fixed,worry_economic:supportive_community,-0.042297718567097436,0.01729943152777227,-2.4450351735080575,855.9249909010285,0.014684435245452928,-0.07625199492690865,-0.008343442207286215,worry_economic,worry_economic,Depression
fixed,worry_economic:supportive_community,-0.05085962273895912,0.01732326971285112,-2.935913576478541,744.8547391913331,0.0034280917844684523,-0.08486786820214721,-0.016851377275771032,worry_economic,worry_economic,Anxiety
fixed,worry_economic:supportive_community,-0.022151839107596064,0.016786291778298566,-1.3196386313404913,866.1518323359547,0.1873043890051248,-0.055098405000984514,0.010794726785792387,worry_economic,worry_economic,Stress
fixed,worry_basic_needs:supportive_community,-0.07985765886694,0.036697585703235364,-2.1761011613333334,519.2536651948873,0.02999776332950069,-0.1519516472170946,-0.007763670516785406,worry_basic_needs,worry_basic_needs,Depression
fixed,worry_basic_needs:supportive_community,-0.041264008575253336,0.035507002225214974,-1.1621372120778497,205.07531447259115,0.2465304260558621,-0.1112695857478477,0.028741568597341033,worry_basic_needs,worry_basic_needs,Anxiety
fixed,worry_basic_needs:supportive_community,0.006882979342929099,0.0360142055883076,0.1911184553565089,655.8679855848176,0.8484919354687018,-0.06383406637638064,0.07760002506223884,worry_basic_needs,worry_basic_needs,Stress
fixed,worry_social:supportive_community,-0.019959613238127696,0.02430439093789207,-0.8212348661249275,857.6642207089975,0.41174071165678705,-0.06766266265039286,0.027743436174137475,worry_social,worry_social,Depression
fixed,worry_social:supportive_community,-0.04146060915121165,0.02427927113758331,-1.7076546044676084,702.3937213621359,0.08814233933624209,-0.0891292462739724,0.006208027971549103,worry_social,worry_social,Anxiety
fixed,worry_social:supportive_community,-0.022915380130382218,0.023517372081745248,-0.9744022440402552,866.3713387034456,0.33012883311305574,-0.0690730654887193,0.023242305227954875,worry_social,worry_social,Stress
fixed,worry_safety_stigma:supportive_community,-0.10220212600554328,0.05208823905260848,-1.9620960098558984,778.6656758939451,0.05010711268520141,-0.2044521325783519,4.788056726534595e-5,worry_safety_stigma,worry_safety_stigma,Depression
fixed,worry_safety_stigma:supportive_community,-0.07236642558646911,0.05152285752667829,-1.4045499232840126,492.42501793837533,0.16078560013218116,-0.17359818435063779,0.028865333177699556,worry_safety_stigma,worry_safety_stigma,Anxiety
fixed,worry_safety_stigma:supportive_community,-0.009768181837329514,0.050708556444496865,-0.19263379836145195,831.0891767962536,0.8472928346702171,-0.10930007674779914,0.08976371307314011,worry_safety_stigma,worry_safety_stigma,Stress
