term,estimate,std.error,statistic,p.value,conf.low,conf.high
countryNepal,0.325,0.9166689135239654,-1.2255463656423273,0.2204,0.054,2.131
countryVietnam,6.315,0.9756078514489542,1.888973744803755,0.0589,1.043,50.564
age,0.98,0.026232773664558583,-0.7681630513353227,0.4424,0.928,1.029
female,1.307,0.5547699789753842,0.4825887363778711,0.6294,0.444,4.015
ethnicity_minority,0.912,0.62882290079158,-0.14687250938700336,0.8832,0.263,3.154
education,2.449,0.2655059924502798,3.3740336040943677,7e-4,1.5,4.279
employmentPart-time/casual,7.23,0.6787393099828827,2.914508163521411,0.0036,2.018,29.733
employmentStudent,6.603,0.9165452383023628,2.0594252088283067,0.0395,1.003,39.569
employmentNot working,1.272,0.952969916684132,0.25221645024335315,0.8009,0.154,7.548
comorbidity,2.724,0.3066261315537649,3.2685438252853953,0.0011,1.479,5.033
gen_health,0.888,0.3572595826606973,-0.3324762120884058,0.7395,0.434,1.774
perceived_risk,0.978,0.050049305416026334,-0.4500737813860664,0.6527,0.883,1.076
risk_self,2.412,0.47230410961327346,1.863833306075001,0.0623,0.979,6.34
health_trust,0.604,0.17177874623199962,-2.9318012382902627,0.0034,0.426,0.839
worry_health_fear,1.09,0.13368922321388235,0.6426099111398832,0.5205,0.838,1.423
worry_economic,1.144,0.12810678909829468,1.0491998676363339,0.2941,0.886,1.468
worry_basic_needs,0.714,0.21743841604798353,-1.5473486214253769,0.1218,0.438,1.052
worry_social,0.937,0.13534641151186047,-0.48204265004311536,0.6298,0.707,1.206
worry_safety_stigma,1.195,0.2876578151547931,0.6187914701243974,0.5361,0.654,2.064
livelihood_disruption,0.516,0.19009891625190262,-3.4802848455215445,5e-4,0.341,0.721
