term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,model
(Intercept),-0.06295869204954997,0.0987045674571639,-0.637849834830318,0.5890199984538957,-0.488821032309992,0.3629036482108921,1.994273042474138,Depression,M0
countryNepal,0.10611417249582117,0.16493973430619424,0.6433511787937692,0.5440880923732516,-0.29877056440532956,0.5109989093969719,5.922019608460196,Depression,M0
countryVietnam,0.040252968919194,0.19965441808183454,0.2016132140020817,0.8479740114183225,-0.4691516610112149,0.5496575988496029,5.127795101787488,Depression,M0
(Intercept),0.8915786817977699,0.40991922464485103,2.1750106562340976,0.057914715427285796,-0.037036992061483254,1.820194355657023,8.917214147000005,Depression,M1
countryNepal,0.009970191259342145,0.15836913918435142,0.0629553921344248,0.9527903162931428,-0.42780470446767854,0.4477450869863628,4.045139347792056,Depression,M1
countryVietnam,-0.05597961837280754,0.16435815447197002,-0.3405953209480362,0.7466882008730112,-0.4731578351211335,0.3611985983755185,5.220783497612961,Depression,M1
age,-0.013650884754628247,0.004370713916473682,-3.1232620151999937,0.010789364084093086,-0.023386887605141994,-0.0039148819041145005,10.019394754491373,Depression,M1
female,0.12908126828445565,0.06550556443213613,1.9705389825040596,0.07794431372166995,-0.017474175637060607,0.2756367122059719,9.706729932981926,Depression,M1
ethnicity_minority,0.12595897989072863,0.07668858451682097,1.6424736573811796,0.14493933529527536,-0.05576327822195337,0.30768123800341063,6.92803155901783,Depression,M1
education,0.021209507464874676,0.052055057654651515,0.40744374169335773,0.6923375681430799,-0.09490718091767997,0.13732619584742933,9.917577564349129,Depression,M1
employmentPart-time/casual,0.08072125854017227,0.1013102095862169,0.796773186728796,0.4442915798267062,-0.14535697631204142,0.30679949339238594,9.88864905055007,Depression,M1
employmentStudent,0.32695844940766555,0.17208703228789482,1.8999598346299387,0.09383083765257201,-0.06960622570969882,0.72352312452503,8.031264306523711,Depression,M1
employmentNot working,-0.04817486254006605,0.08590317321260102,-0.5608042257163016,0.5891117253983248,-0.24359897664716,0.14724925156702787,8.679980907588963,Depression,M1
comorbidity,0.3394483952275517,0.07591175507681312,4.471618326885905,0.0014508008587630127,0.16841635828387644,0.510480432171227,9.245391682921683,Depression,M1
gen_health,-0.1898162927029322,0.0470929174540776,-4.030676011696038,0.0024713290225693305,-0.2949628738780993,-0.08466971152776513,9.849983871308114,Depression,M1
(Intercept),0.6348991227589736,0.4348206525636143,1.4601402187677548,0.18057183310194894,-0.3593396467279496,1.6291378922458968,8.410724616846123,Depression,M2
countryNepal,-0.0695122769819807,0.16807293696029718,-0.41358399656216605,0.6942785822607842,-0.4860204260304536,0.3469958720664922,5.702967819744843,Depression,M2
countryVietnam,0.06006505030904426,0.16226986644033092,0.3701552951677019,0.7243524501918341,-0.33991239101206655,0.46004249163015504,5.82454775294247,Depression,M2
age,-0.01425337649411141,0.004013014644007708,-3.551787810043195,0.005121491274357195,-0.0231753670774474,-0.005331385910775418,10.164389190114983,Depression,M2
female,0.10723881885894107,0.06842622939607507,1.5672180069751482,0.1489521483970362,-0.04578227356092532,0.26025991127880743,9.73795539329075,Depression,M2
ethnicity_minority,0.14329167317527214,0.07800350507363225,1.8369901844796643,0.11016021155606495,-0.042344346737794636,0.3289276930883389,6.785771188665831,Depression,M2
education,0.006266738460391958,0.047780181342170214,0.13115769518566078,0.8983185686943302,-0.10057238939848079,0.1131058663192647,9.74537348351309,Depression,M2
employmentPart-time/casual,0.14295075856235828,0.09772026349212863,1.4628568676943137,0.17484547439532364,-0.07540743938624886,0.3613089565109654,9.79350993769477,Depression,M2
employmentStudent,0.3131237616630576,0.23214602293374065,1.3488224252389183,0.2126915789937976,-0.21796575775789145,0.8442132810840066,8.384210537211654,Depression,M2
employmentNot working,0.02685344685172887,0.08160351478145457,0.32907218425145157,0.7500502342234242,-0.15936320817382044,0.2130701018772782,8.514607055420134,Depression,M2
comorbidity,0.3159296834118862,0.07616486460848873,4.147971443734113,0.002403690714873496,0.14406620351550328,0.48779316330826916,9.151357043970872,Depression,M2
gen_health,-0.17257511285837515,0.042954948214841894,-4.017584004413876,0.00258542283391188,-0.26864309445570755,-0.07650713126104276,9.732052206798611,Depression,M2
