construct,variable,n_miss,pct_miss
perceived_risk,q27_1_infected,22,1.4
perceived_risk,q27_2_infect_others,33,2.2
perceived_risk,q27_3_family_infect,33,2.2
perceived_risk,q27_4_severe,36,2.4
perceived_risk,q27_5_quarantine,46,3
perceived_risk,q27_6_die,47,3.1
self_risk,q31_risk_self,24,1.6
self_risk,q32_risk_country,36,2.4
general_health,q33_gen_health,5,0.3
general_health,q34_gen_health_now,7,0.5
govt_awareness,q21_1_lockdown,470,30.8
govt_awareness,q21_2_travel,650,42.6
govt_awareness,q21_3_gatherings,649,42.5
govt_awareness,q21_4_schools,318,20.8
govt_awareness,q21_5_workplace,267,17.5
govt_awareness,q21_6_shops,383,25.1
govt_awareness,q21_7_public,503,32.9
govt_awareness,q21_8_borders,619,40.5
govt_awareness,q21_9_international,581,38
govt_awareness,q21_10_domestic,422,27.6
govt_awareness,q21_11_quarantine,549,36
govt_awareness,q21_12_self_isolate,503,32.9
govt_awareness,q21_13_distance,622,40.7
govt_awareness,q21_14_masks,843,55.2
worry_items,q51_1_lonely,18,1.2
worry_items,q51_2_quarantine,19,1.2
worry_items,q51_3_infected,30,2
worry_items,q51_4_severe,22,1.4
worry_items,q51_5_death,23,1.5
worry_items,q51_6_health_system,39,2.6
worry_items,q51_7_education,34,2.2
worry_items,q51_8_teaching,39,2.6
worry_items,q51_9_children_home,45,2.9
worry_items,q51_10_income,38,2.5
worry_items,q51_11_food,39,2.6
worry_items,q51_12_water,42,2.8
worry_items,q51_13_medicine,38,2.5
worry_items,q51_14_rent,51,3.3
worry_items,q51_15_debt,53,3.5
worry_items,q51_16_agri,60,3.9
worry_items,q51_17_harvest,63,4.1
worry_items,q51_18_produce,78,5.1
worry_items,q51_19_stigma,60,3.9
worry_items,q51_20_abuse,60,3.9
worry_items,q51_21_recession,80,5.2
livelihood,q8_1_reduced_hours,172,11.3
livelihood,q8_3_less_income,158,10.3
livelihood,q8_6_lost_job,211,13.8
livelihood,q8_8_quit_job,235,15.4
lifestyle,q26_1_food,68,4.5
lifestyle,q26_2_disinfect,63,4.1
lifestyle,q26_3_medicine,83,5.4
lifestyle,q26_4_supplies,56,3.7
lifestyle,q26_5_healthy_food,56,3.7
lifestyle,q26_6_vitamins,70,4.6
lifestyle,q26_7_sleep,74,4.8
lifestyle,q26_8_smoking,112,7.3
lifestyle,q26_9_alcohol,115,7.5
lifestyle,q26_10_exercise,67,4.4
lifestyle,q26_11_socialise,72,4.7
lifestyle,q26_12_family,56,3.7
lifestyle,q26_13_neighbours,68,4.5
lifestyle,q26_14_spend_time,74,4.8
compliance,q22_1_lockdown,221,14.5
compliance,q22_2_travel,122,8
compliance,q22_3_gatherings,103,6.7
compliance,q22_4_work_home,190,12.4
compliance,q22_5_self_isolate,208,13.6
compliance,q22_6_isolate_sick,188,12.3
compliance,q22_7_distance,98,6.4
compliance,q22_8_masks,76,5
compliance,q22_9_hands,82,5.4
prevention,q23_1_pray,105,6.9
prevention,q23_2_herbal,61,4
prevention,q23_3_vitaminc,61,4
prevention,q23_4_saltwater,59,3.9
prevention,q23_5_drugs,88,5.8
prevention,q23_6_hands,43,2.8
prevention,q23_7_eyes,54,3.5
prevention,q23_8_disinfect,63,4.1
prevention,q23_9_mouth,49,3.2
prevention,q23_10_symptom_advice,71,4.6
prevention,q23_11_hotline,96,6.3
prevention,q23_12_travel,97,6.4
prevention,q23_13_stay_home_sick,75,4.9
prevention,q23_14_stay_home,86,5.6
prevention,q23_15_flu_jab,117,7.7
prevention,q23_16_avoid_hf,102,6.7
prevention,q23_17_avoid_crowds,62,4.1
prevention,q23_18_avoid_transport,90,5.9
prevention,q23_19_avoid_hcw,90,5.9
prevention,q23_20_avoid_eat_out,76,5
health_trust,q28_prevention,48,3.1
health_trust,q29_health_system,34,2.2
social_support,q52___1,0,0
social_support,q52___2,0,0
social_support,q52___3,0,0
social_support,q52___4,0,0
social_support,q52___5,0,0
social_support,q52___6,0,0
social_support,q52___7,0,0
social_support,q52___8,0,0
social_support,q52___9,0,0
social_support,q52___10,0,0
social_support,q52___11,0,0
social_support,q52___12,0,0
social_support,q52___13,0,0
community_help,q53___1,0,0
community_help,q53___2,0,0
community_help,q53___3,0,0
community_help,q53___4,0,0
community_help,q53___5,0,0
community_help,q53___6,0,0
community_help,q53___7,0,0
community_help,q53___8,0,0
community_help,q53___9,0,0
community_help,q53___10,0,0
community_help,q53___11,0,0
community_help,q53___12,0,0
community_help,q53___13,0,0
